meeting,extractive,abstractive
Bmr023.G,"we were gonna do a mock up question answering and even the good thing is that since you , have high recall , even if you have low precision cuz you 're over generating , that 's good but i know that if we run recognition unconstrained on a whole waveform , we do very poorly because we 're getting insertions in places what that you may be cutting out . we do need some pre segmentation . and , using thilo 's , posteriors or some or as long as we have a record , of the original automatic one , we can always find out how we would do fr from the recognition side by using those boundaries . because we couldn't use the non native all non native meetings and it 's , probably below threshold on enough data for us for the things we 're looking at because the prosodic features are very noisy and you need a lot of data in order to model them . we 're starting to see some patterns but we did find that some of the features that , i gue jane would know about , that are expressing the distance of , boundaries from peaks in the utterance and some local , range pitch range effects , like how close people are to their floor , are showing up in these classifiers , which are also being given some word features that are cheating , cuz they 're true words . these are based on forced alignment . spurts is not cheating except that the real words , you reported on some te punctuation type finding sentence boundaries , finding disfluency boundaries , and then i had done some work on finding from the foreground speech whether or not someone was likely to interrupt , where if i 'm talking now and someone and andreas is about to interrupt me , is he gonna choose a certain place in my speech , either prosodically or word based . and there the prosodic features actually showed up even though the word features were available . and a neat thing there too is i tried some putting the speaker i gave everybody a short version of their name . that means that overall , it wasn't just modeling morgan , or it wasn't just modeling a single person , the other thing that was interesting to me is that the pitch features are better than in switchboard . and that really is from the close talking mikes , cuz the pitch processing that was done has much cleaner behavior than the switchboard telephone bandwidth . first of all , the pitch tracks are m have less , halvings and doublings than switchboard and there 's a lot less dropout , if you ask how many regions where you would normally expect some vowels to be occurring are completely devoid of pitch information , in other words the pitch tracker just didn't get a high enough probability of voicing for words ma the tele we had telephone bandwidth for switchboard and we had the an annoying telephone handset movement problem that may also affect it . we 're just getting better signals in this data . to try to get a non cheating version of how all this would work . are we trying to do them in synchrony ? that might be fun . ","Additionally they would also like to have the question answering mock-up and transcriber interface ready for then. PLP results for the front-end look good, with the group also reporting progress in segmentation: Thilo's segmenter will now be used and ways of improving performance investigated; The classifier segmentation is progressing well, especially in the use of prosody for identifying interruption. "
Bmr024.A,"and crucial part of that is the idea of not wanting to do it until right before the next level zero back up that there won't be huge number of added , i hire i 've hired two extra people already , expect to hire two more . which are now being edited by my head transcriber , in terms of spelling errors and all that . she 's also checking through and mar and monitoring , the transcription of another transcriber . and , i 've moved on now to what i 'm calling set three . if i do it in sets groups of five , then have parallel processing through the current . and you indicated to me that we have a g a goal now , for the for the , the , darpa demo , of twenty hours . i 'm gonna go up to twenty hours , be that everything gets processed , and released , and that 's what my goal is . i realize that , w i we 're using the pre segmented version , and , the pre segmented version is extremely useful , and wouldn't it be , useful also to have the visual representation of those segments ? and 've i , i 've trained the new one the new the newest one , to , use the visual from the channel that is gonna be transcribed at any given time . because what happens then , is you scan across the signal and once in a while you 'll find a blip that didn't show up in the pre segmentation . and , that we 're gonna end up with , better coverage of the backchannels , but at the same time we 're benefitting tremendously from the pre segmentation because we have meetings that have a reason . and those and this sounds like it 's more of an experimental setup . but you can have it nw archive to you can have , a non backed up disk nw archived , ","In particular, the group discuss their preparation of materials for the transcriptions of digits by IBM, and also the human transcribers who are working towards preparing the set of 20 for the DARPA meeting. A number of issues regarding the management of data are addressed by the group: The inclusion of different data types in the corpus, and the storage and back-up of the group's data. "
Bmr024.B,"and the main thing will be if we can align what they give us with what we sent them . n i 'm successfully , increasing the error rate . 'm just playing with , the number of gaussians that we use in the recognizer , and ","Other discussion focuses on the re-evaluation of recognition without cheating on segmentation, and also how SRI recognition can be improved, especially for the female group. "
Bmr024.C,,
Bmr024.D,"but , probably , if we had to pick something that we would talk on for ten minutes or while they 're coming here . or it would be , you think , reorganization status , since that was a pretty short one , we should talk about the ibm transcription status . but the other thing is that , that 's kinda twenty hours asap because the longer before the demo we actually have the twenty hours , the more time it 'll be for people to actually do things with it . the the difference if , if the ibm works out , the difference in the job would be that they p primarily would be checking through things that were already done by someone else ? forced alignment would be one thing . what about just actually doing recognition ? i was just asking , just out of curiosity , if with , the sri recognizer getting one percent word error , would we do better ? if you do a forced alignment but the force but the transcription you have is wrong because they actually made mistakes , or false starts , it 's much less c it 's much less common than one percent ? i 'm not saying it should be one way or the other , but it 's if i would not say it was part of the meetings corpus . it 's th think the idea of two or more people conversing with one another is key . it 's scenario based , it 's human computer interface it 's really pretty different . it 's just that it 's , different directory , it 's called something different , it 's i don i wouldn't call reading digits "" meetings "" . i don't care what directory tree you have it under . but you see , now , between the males and the females , there 's certainly a much bigger difference in the scaling range , than there is , say , just within the males . or you 're doing one too many . he was he 's it looked like the probabil at one point he was looking at the probabilities he was getting out at the likelihoods he was getting out of plp versus mel cepstrum , and they looked pretty different , but , you 're only talking about a percent or two . we 've always viewed it , anyway , as the major difference between the two , is actually in the smoothing , that the that the , plp , and the reason plp has been advantageous in , slightly noisy situations is because , plp does the smoothing at the end by an auto regressive model , is there something quick about absinthe that you ? guess the other thing that we were gonna talk about is , demo . and , these are the demos for the july , meeting and , darpa mee but we 'll just put that off for now , given that but we should have a sub meeting , probably , adam and , chuck and me should talk about should get together and talk about that sometime soon . ","Progress has been made in naming conventions, with file reorganisation to be done at a later date, however this was not discussed fully due to Chuck's absence. In particular, the group discuss their preparation of materials for the transcriptions of digits by IBM, and also the human transcribers who are working towards preparing the set of 20 for the DARPA meeting. The inclusion of different data types in the corpus, and the storage and back-up of the group's data. A number of issues regarding the management of data are addressed by the group: Other discussion focuses on the re-evaluation of recognition without cheating on segmentation, and also how SRI recognition can be improved, especially for the female group. Finally, Absinthe is now up and running with improved performance. Discussion of demos for the July DARPA meeting were left to the individuals concerned. "
Bmr024.E,and we have done that on the automatic segmentations . the references for those segments ? ,
Bmr024.F,"chuck was the one who added out the agenda item . i don't really have anything to say other than that we still haven't done it . naming conventions and things like that , that i 've been trying to keep actually up to date . and i 've been sharing them with u d uw folks also . we , we did another version of the beeps , where we separated each beeps with a spoken digit . chuck came up here and recorded some di himself speaking some digits , they 'll have a b easier time keeping track of where they are in the file . we just sent it to ibm . i was just wondering what people thought about how automated can we make the process of finding where the people read the digits , doing a forced alignment , and doing the timing . guess if we segmented it , we could get one percent on digits . hire some people , or use the transcribers to do it . we could let ibm transcribe it . or we could try some automated methods . and my tendency right now is , if ibm comes back with this meeting and the transcript is good , just let them do it . and the , porzel and the , smartkom group are collecting some dialogues . they have one person sitting in here , looking at a picture , and a wizard sitting in another room somewhere . and , they 're doing a travel task . but it starts where the wizard is pretending to be a computer and it goes through a , speech generation system . should this be part of the corpus or not ? and my attitude was yes , because there might be people who are using this corpus for acoustics , as opposed to just for language . but they don't know that it 's the same person both times . and i said , "" that 's silly , if we 're gonna try to do it for a corpus , there might be people who are interested in acoustics . "" it 's it it the begs the question of what is the meeting corpus . this has two or more people conversing with each other . we give everyone who 's involved as their own user id , give it session i ds , let all the tools that handle meeting recorder handle it , or do we wanna special case it ? and just simply in the file you mark somewhere that this is this type of interaction , rather than another type of interaction . but , i put it under the same directory tree . we 're about half halfway through our disk right now . once everything gets converted over to the disks we 're supposed to be using we 'll be probably , seventy five percent . i 'm much more concerned about the backed up . when i say two or three years what i 'm saying is that i have had disks which are gone in a year . but , you don't want to per p have your only copy on a media that fails . icsi already has a perfectly good tape system and it 's more reliable . for archiving , we 'll just use tape . but even without that , the back up system is becoming saturated . you can try each one on a cross validation set , and got a speedup roughly proportional to the number of processors times the clock cycle . but the what it means is that it 's likely that for net training and forward passes , we 'll absinthe will be a good machine . especially if we get a few more processors and upgrade the processors . ","Progress has been made in naming conventions, with file reorganisation to be done at a later date, however this was not discussed fully due to Chuck's absence. In particular, the group discuss their preparation of materials for the transcriptions of digits by IBM, and also the human transcribers who are working towards preparing the set of 20 for the DARPA meeting. A number of issues regarding the management of data are addressed by the group: The inclusion of different data types in the corpus, and the storage and back-up of the group's data. Finally, Absinthe is now up and running with improved performance. "
Bmr024.G,,
Bmr024.H,,
Bmr024.I,"and and , one of the obvious things that occur to us was that we 're since we now have thilo 's segmenter and it works , amazingly we should actually re evaluate the recognition , results using without cheating on the segmentations . no , actually , nist has , a fairly sophisticated scoring program that you can give a , time , you just give two time marked sequences of words , and it computes the the , the th it we just and we use that actually in hub five to do the scoring . what we 've been using far was simplified version of the scoring . it does time constrained word alignment . that thilo wanted to use the recognizer alignments to train up his , speech detector . that we could use , there wouldn't be much hand labelling needed to , to generate training data for the speech detector . we simulate a computer breakdown halfway through the session , and then after that , the person 's told that they 're now talking to a , to a human . it makes sense to handle it with the same infrastructure , since we don't want to duplicate things unnecessarily . but as far as distributing it , we shouldn't label it as part of this meeting corpus . what about putting the on cd rom or dvd how about putting them on that plus , like on a on dat or some other medium that isn't risky ? but this back up system is smart enough to figure out that something hasn't changed and doesn't need to be backed up again . you have to sa you have to tell people that you 're doing you 're trying the tandem features . a and i 'm still tinkering with the plp features . that was before i tried it on the females . we had reached the point where , on the male portion of the development set , the , or one of the development sets , i should say the , the male error rate with , icsi plp features was identical with , sri features . and the test data is callhome and switchboard . and plus the vocal tract length normalization didn't actually made things worse . something 's really wrong . d the one thing that i then tried was to put in the low pass filter , which we have in the most hub five systems actually band limit the at about , thirty seven hundred , hertz . although , normally , the channel goes to four thousand . and it didn't hurt on the males either . and suddenly , also the v the vocal tract length normalization only in the test se on the test data . between one and two percent , for the females . we 're looking at the discrepancy between the sri system and the sri system when trained with icsi features . no , but with baum welch , there shouldn't be an over fitting issue , really . for the plp features we use the triangular filter shapes . and for the in the sri front end we use the trapezoidal one . ",
Bmr025.A,"hired several more transcribers , they 're making great progress . 've been finishing up the double checking . i know that that thilo you were , bringing the channeltrans interface onto the windows machine ? and i have my feeling on it is that in principle it 's a really idea , and you have the time tags which makes it better tha than just taking ra raw notes . on the other hand , i the down side for me was that the pen is really noisy . ","Transcription is progressing well, with new people hired, and double checking almost complete. Finally, other progress made includes getting the ChannelTrans interface working, ordering more wireless microphones, and analysing recognition runs. "
Bmr025.B,"darpa demos , at the very least we 're gonna want something illustrative with that and if there 's something that shows it graphically it 's much better than me just having a bullet point s when we here were having this demo meeting , what we 're coming up with is that we wanna have all these pieces together , to first order , by the end of the month that 'll give us that 'll give us a week or to to port things over to my laptop and make that works , if it 's stationary it 's not going to go through the increment it 's not gonna burden things in the incremental backups . guess the idea is that we would be reserving the non backed up space for things that took less than twenty four hours to recreate like that , good . crosspads ? that you can you have a record of whatever it is you 've written . and one of the reasons that it was brought up originally was because we were interested in higher level things , not just the , microphone but also summarization and forth we get somebody to buy into the idea of doing this as part of the task . part of the reason part of the reason that adam was interested in the speechcorder idea from the beginning is he said from the beginning he hated taking notes but by i would suggest you return one . because we we haven't used it there 's all this going on between andreas and dave and chuck and others with various kinds of runs recognition runs , trying to figure things out about the features but it 's all in process , ","The most pressing issue concerns the demos which the group are preparing for the DARPA meeting next month. Additionally, the group have progressed further with data storage issues, with backing-up their data now regarded as a priority, and more disk space required. The collection of CrossPad note-taking data will be pursued in future meetings. Finally, other progress made includes getting the ChannelTrans interface working, ordering more wireless microphones, and analysing recognition runs. "
Bmr025.C,we can probably find some examples of different type of prosodic events going on . ,
Bmr025.D,"i 've just processed the first five edu meetings and they are chunked up they would they probably can be sent to ibm whenever they want them . it 's already at ibm , it 's it it 's done , ","Finally, other progress made includes getting the ChannelTrans interface working, ordering more wireless microphones, and analysing recognition runs. "
Bmr025.E,if you wanted to do that the right architecture for it is to get a pda with a wireless card . and that way you can synchronize very easily with the meeting ,The collection of CrossPad note-taking data will be pursued in future meetings. 
Bmr025.F,"the second one of those that 's the one that we 're waiting to hear from them on . and as soon as we hear from brian that this one is and we get the transcript back and we find out that hopefully there are no problems matching up the transcript with what we gave them , then we 'll be ready to go and we 'll just send them the next four as a big batch , we 're doing things in parallel , i never knew we were supposed to put it in the key file . ",Work is also going on in parallel with IBM. 
Bmr025.G,"another idea i w t had just now actually for the demo was whether it might be of interest to sh to show some of the prosody work that don 's been doing . and then show task like finding sentence boundaries or finding turn boundaries . you can show that graphically , what the features are doing . it , it doesn't work great but it 's definitely giving us something . i don't know if that would be of interest or not . next month . quick question on that . is do we have the seat information ? but hadn't ever been putting it in the key files . what if you 're sitting there and you just wanna make an x and you don't wanna take notes one would probably be fine . we could do like a student project , someone who wants to do this as their main like s project for something would be we might wanna do it simultaneous . ","Here they discuss the querying and indexing tool which is progressing well albeit with a few front-end issues, and also the transcriber tool. The collection of CrossPad note-taking data will be pursued in future meetings. "
Bmr025.H,"as a somewhat segue into the next topic , could i get a hold of the data even if it 's not really corrected yet just can get the data formats and make the information retrieval is working ? especially for the information retrieval 've been working on using the thisl tools to do information retrieval on meeting data and the thisl tools are there 're two sets , there 's a back end and a front end , the front end is the user interface and the back end is the indexing tool and the querying tool . and 've written some tools to convert everything into the right for file formats . and the command line version of the indexing and the querying is now working . at least on the one meeting that i had the transcript for conveniently you can now do information retrieval on it , do type in a string and get back a list of start end times for the meeting , but my intention is to do a prettier user interface based either but it does mean you need to be running a web server . and it 's pretty big and complex . and it would be difficult to port to windows the other option is dan did the tcl tk thisl gui front end for broadcast news 've been doing a bunch of xml tools because there are a lot of tools that let you do extraction and reformatting of xml tools . yet again we should probably meet to talk about transcription formats in xml i 'm converting the key files to xml that you can extract m various inf sorted information on individual meetings the seat information is on the key files for the ones which this is why i wanna use a g a tool to do it rather than the plain text because with the plain text it 's very easy to skip those things . and then the other thing also that thilo noticed is , on the microphone , on channel zero it says hand held mike or crown mike , you actually have to say which one . and then also in a couple of places instead of filling the participants under "" participants "" they were filled in under "" description "" . the one that shows up here , that will flash yellow if the mike isn't connected . spoke with dave johnson about putting all the meeting recorder on non backed up disk to save the overhead of backup but he thought it was a bad idea . what he said is doing the manual one , doing nw archive to copy it is a good idea and we should do that and have it backed up . he w he 's a firm believer in lots of different modalities of backup . this data cannot be recovered . and if then a mistake is made and we lose the archive we should have the backup . just the monthly full . and we 're far enough away from saturation on full backups that it 's w probably and the only issue here is the timing between getting more disks and recording meetings . things that are recreatable easily and also things that are recreatable . who said "" if you 're not using them , could you return them ? "" we used them a couple times , if you take notes it 's a great little device . that it 's synchronized with the time on that and then you have to download to an application , and then you have to figure out what the data formats are and convert it over if you wanna do anything with this information . for what you 've been describing buttons would be even more convenient than anything else , if we had them out and sitting on the table people might use them a little more w we ordered more wireless , and then at the same time i 'll probably rewire the room as per jane 's suggestion that the first n channels are wireless , are the m the close talking and the next n are far field . you hav sorta have to . ","Work is also going on in parallel with IBM. Here they discuss the querying and indexing tool which is progressing well albeit with a few front-end issues, and also the transcriber tool. Tools for accessing key file information have been developed which should ensure all meeting information is present. Additionally, the group have progressed further with data storage issues, with backing-up their data now regarded as a priority, and more disk space required. The collection of CrossPad note-taking data will be pursued in future meetings. Finally, other progress made includes getting the ChannelTrans interface working, ordering more wireless microphones, and analysing recognition runs. "
Bmr026.A,"this is gonna be a pretty short meeting because i have four agenda items , three of them were requested by jane who is not gonna be at the meeting today . they ' r they 're doing the full transcription process . jane also wanted to talk about participant approval , but i don't really think there 's much to talk about . i 'm gonna send out to the participants , with links to web pages which contain the transcripts and allow them to suggest edits . nope , they 'll have access to the audio also . because the transcripts might not be right . it 's probably going to have to be the uncompressed versions because , it takes too long to do random access decompression . darpa demo status , not much to say . the back end is working out fine . i 've added some that indes indexes by the meeting type mr , edu , et cetera and also by the user id . that the front end can then do filtering based on that as the back end is going more slowly as i s said before just cuz i 'm not much of a tcl tk programmer . transcriber is tcl tk , very generic with snack , just record the audio clip and show an image and that 's and the last i item on the agenda is disk issues yet again . we 're only about thirty percent on the second disk . we have a little bit of time before that becomes critical , but we are like ninety five percent , ninety eight percent on the scratch disks for the expanded meetings . and , my original intention was like we would just delete them as we needed more space , but unfortunately we 're in the position where we have to deal with all the meeting data all at once , in a lot of different ways . you we need about a gig per meeting . the sysadmins would prefer to have one external drive per machine . they don't want to stack up external drives . and think what he 's been concentrating on is the back up system , rather than on new disk . just a week from tomorrow ? they were comparable . ","This is a relatively short meeting of the Meeting Recorder group, with only a few agenda items. Transcription was discussed briefly because Jane was not present, however this appears to be progressing well in parallel with IBM. Web pages have been set up to show transcription status and to allow participants to approve transcripts. DARPA demos are progressing well with the back-end indexed to allow front-end filtering, and a potential demo ideas investigated which would use X Waves. Transcriber is now working for Windows, however live pitch contours may not work in the time available. Backed-up disk space is now fine, however temporary space is running out fast. The group note that the annual report needs to be worked on for next week, and it is also suggested to hold recognition meetings separately, however these issues will be discussed in more detail at the next meeting. "
Bmr026.B,"and , the more live , the better , but given the crunch of time , we may have to retreat from it to some extent . think for a lot of reasons , it would be very to have this transcriber interface be able to show some other interesting signal along with it it should get another rack . dave johnson is gone for ten days , it 's just a question of figuring out where they should be and hanging them , this is a question that 's pretty hard to solve without talking to dave , but at any rate that there 's a longer term thing and there 's immediate need something that we wanna do next meeting is to put together a reasonable list for ourselves of what is it , that we 've done . just bulletize e do dream up text but this is gonna lead to the annual report . how many people here would not be interested in in a meeting about recognition ? and then if we find , we 're just not getting enough done , there 's all these topics not coming up , then we can expand into another meeting . let 's chat about it with liz and jane when we get a chance , see what they think and mean that 's actually not that different from the amount of training that there was . because it was apparent if you put in a bunch more data it would be better , although we it 's not that many fewer and we take a klt anyway we could and the b and the base u starting off with the base of the alignments that you got from i from a pretty decent system . it 's it 'd be context independent and on . how much training data ? ","Transcriber is now working for Windows, however live pitch contours may not work in the time available. Interim measures are discussed while sysadmin are away. The group note that the annual report needs to be worked on for next week, and it is also suggested to hold recognition meetings separately, however these issues will be discussed in more detail at the next meeting. "
Bmr026.C,"but it 's just transcripts , not the audio ? i 've been putting together transcriber things for windows but the problem is the version transcriber works with , the snack version , is one point six whatever ","Web pages have been set up to show transcription status and to allow participants to approve transcripts. Transcriber is now working for Windows, however live pitch contours may not work in the time available. "
Bmr026.D,"because i need to ask jane whether it 's it would be for her s some of her people to transcribe some of the initial data we got from the smartkom data collection , which is these short like five or seven minute sessions . but to get going we would like some of the data transcribed right away we can get started . and wanted to ask jane if one of their transcribers could do since these are very short , that should really be but it would be if the transcriber interface had like another window for the above the waveform where it would show some arbitrary valued function that is time synchron ti time synchronous with the wavform . one thing we in past meetings we had also a various variously talked about the work that w was happening on the recognition side it 's that it 's just gonna be ver very boring for people who are not really interested in the details of the recognition system . liz and jane probably . yot i tested the the final version of the plp configuration on development test data for this year 's hub five test set . and the recognition performance was exactly , and exactly up to the the first decimal , same as with the mel cepstra front end . they were the males were slightly better and the females were slightly worse but nothing really . and then the really thing was that if we combine the two systems we get a one and a half percent improvement . which u actually uses the whole n best list from both systems to combine that . there 's one thing mean you don't want to overdo it because y every front end if you multiply your effort by n , where n is a number of different systems and then we had some results on digits , with and the reason is there 's a whole bunch of read speech data in the hub five training set . the rest is read timit data and atis data and wall street journal and like that . a fifth would be two hours something . but it definitely helps to have the other read data in there the error rate is half of what you do if you train only on ti timit not timit ti digits , more read speech data definitely helps . and you can leave out all the conversational data with no performance penalty . that 's plenty of read speech data . wall street journal , take one example . that might be useful for the people who train the digit recognizers to use something other than ti digits . and then i th guess chuck and i had some discussions about how to proceed with the tandem system the mlp would be trained on only forty six or forty eight which is smaller than the than the phone set that we 've been using far . we want to try things like deltas on the tandem features . and you h have to multiply everything by two or three . and fewer dimensions in the phone set would be actually helpful just from a logistics point of view . and then we wanted to s just limit it to something on the same order of dimensions as we use in a standard front end . that would mean just doing the top i don't know ten or twelve of the klt dimensions . once we have the new m l p trained up , one thing i wanted to try just for the fun of it was to actually run like a standard hybrid system that is based on those features and retrain mlp and also the the dictionary that we use for the hub five system . it 's sanity check of the m l p outputs before we go ahead and train up the use them as a basis for the tandem system . you started training with outputs from a with alignments that were generated by the cambridge system ? that was probably because your initial system your system was ba worse than cambridge 's . ","Transcriber is now working for Windows, however live pitch contours may not work in the time available. The group note that the annual report needs to be worked on for next week, and it is also suggested to hold recognition meetings separately, however these issues will be discussed in more detail at the next meeting. Improvement has been made in the final version of the PLP, which shows better female performance, and combined with Mel Ceptra offers 1.5% improvement. Digit performance also improved thanks to training using scripted speech data. Progress has also been made in SRI alignment for tandem system. "
Bmr026.E,"we 're doing some in parallel . and , also i was just showing andreas , i got an x waves display , and i don't know how much more we can do with it with like the prosodic where we have like stylized pitches and signals and the transcripts on the bottom and see the pitch contours also . i have have an eighteen gig drive hanging off of my computer . ","Transcription was discussed briefly because Jane was not present, however this appears to be progressing well in parallel with IBM. DARPA demos are progressing well with the back-end indexed to allow front-end filtering, and a potential demo ideas investigated which would use X Waves. Transcriber is now working for Windows, however live pitch contours may not work in the time available. "
Bmr026.F,"first of all with ibm i got a note from brian yesterday saying that they finally made the tape for the thing that we sent them a week or week and a half ago and hopefully next week we 'll have the transcription back from that . guess she 's hired some new transcribers 've been trying to keep a web page up to date f showing what the current status is of the trans of all the things we 've collected that 's the thing that i sent out just to foo people saying can you update these pages i 'll send it out to the list telling people to look at it . the audio that they 're gonna have access to , will that be the uncompressed version ? or will you have scripts that like uncompress the various pieces and i was just wondering because we 're running out of the un backed up disk space on sent that message out to , you and dave asking for if we could get some disk . part of the reason why dave can't get the new machines up is because he doesn't have room in the machine room right now . why don't we alternate this meeting every other week ? but i do i don't lot of times lately it seems like we don't really have enough for a full meeting on meeting recorder . andreas brought over the alignments that the sri system uses . and 'm in the process of converting those alignments into label files that we can use to train new net with . and then i 'll train the net . i was wondering what size net i should anybody have any intuitions or suggestions ? ","Transcription was discussed briefly because Jane was not present, however this appears to be progressing well in parallel with IBM. Web pages have been set up to show transcription status and to allow participants to approve transcripts. The group note that the annual report needs to be worked on for next week, and it is also suggested to hold recognition meetings separately, however these issues will be discussed in more detail at the next meeting. "
Bmr027.A,"meant that was the release date that you had on the data . but it might be good to remind people two weeks prior to that they can change it to . one of them is "" censor "" , and the other one is "" incorrect "" . the german ones will be ready for next week . and then it 'd be good to set an explicit deadline , something like a week before that , j july fifteenth date , or two weeks before . this is in the summer period and presumably people may be out of town . but we can make the assumption , can't we ? that , they will be receiving email , most of the month . al altogether we 've got twenty people . these people are people who read their email almost all the time . i really don't see that it 's a problem . that it 's a common courtesy to ask them to expect for them to , be able to have @ @ us try to contact them , u just in case they hadn't gotten their email . they 'd appreciate it . i don't think , they 're recent , these visitors . i w i 'll be able to if you have any trouble finding them , i really could find them . and it i this discussion has made me think it might be to have a follow up email within the next couple of days saying "" we wanna hear back from you by x date at a certain point , that copy that has the deletions will become the master copy . do you suppose that was because they weren't caught by the pre segmenter ? we 've been , contacted by university of washington now , to , we sent them the transcripts that correspond to those six meetings and they 're downloading the audio files . @ this is from one of the nsa meetings no , no . these are our local transcriptions of the nsa meetings . sometimes some speakers will insert foreign language terms . and i 'm hoping that when the checked versions are run through the recognizer that you 'll see s substantial improvements in performance no , actually no . this is cuz , you don't realize in daily life how much you have top down influences in what you 're hearing . and it 's jar it 's jargon coupled with a foreign accent . and then i also the final thing i have for transcription is that i made a purchase of some other headphones because of the problem of low gain in the originals . and they very much appro they mu much prefer the new ones , ","The group suggest sending reminder e-mails, although since many participants are local they can be contacted by other means if necessary. Checking of the NSA meetings has revealed that this non-native English meeting data contains transcription inaccuracies due to the use of foreign language terms and technical vocabulary. With regard to obtaining consent, the group discuss the extent to which they need to attempt to contact people, which methods are most appropriate, and how much responsibility rests on participants being available and checking their e-mail regularly. Additional topics covered more briefly in this meeting are disk space, the DARPA annual report, progress with the demo, conference submissions and attendance, and requests from the University of Washington for data. Transcriptions are back from IBM, and the group discuss the checking of these, particularly since the pre-segmenter has interfered with back-channel data. "
Bmr027.B,"just to repeat the thing bef that we said last week , it was there 's this suggestion of alternating weeks on more , automatic speech recognition related or not ? at some point y you go around and get people to sign something ? july fifteenth . cuz i because if we wanna be able to give it to people july fifteenth , if somebody 's gonna come back and say "" i don't want this and this used "" , clearly we need some time to respond to that . nsa . it you 're right . sometimes somebody will be away that 's it 's , just a certain risk to take . and if there 's half the people , say , who don't respond by , some period of time , we can just make a list of these people and i 'll hand it to administrative staff or whatever , and they 'll just call them up and say , "" have you is this and would you mail mail adam that it is , if i if it , is or not . "" i email is enough . i 'm not a lawyer , but i 've been through these things a f things f like this a few times with lawyers now 'm pretty comfortable with that . the way icsi goes , people , who , were here ten years ago still have acc have forwards to other accounts and on . if we get to a boundary case like that then will call the attorney about it . are you del are you bleeping it by adding ? we heard anything from ibm ? no . just buy them . we 've just ordered a hundred gigabytes . and there 's also an annual report . now , they darpa just said do an annual report . anyway , i 'll be putting together i 'll do it , as much as without bothering people , just by looking at papers and status reports . the status reports you do are very helpful . can grab there . and if , if i have some questions i 'll but , i 'm before it 's all done , i 'll end up bugging people for more clarification about y you going to , eurospeech ? ","With regard to obtaining consent, the group discuss the extent to which they need to attempt to contact people, which methods are most appropriate, and how much responsibility rests on participants being available and checking their e-mail regularly. The group suggest sending reminder e-mails, although since many participants are local they can be contacted by other means if necessary. Checking of the NSA meetings has revealed that this non-native English meeting data contains transcription inaccuracies due to the use of foreign language terms and technical vocabulary. Additional topics covered more briefly in this meeting are disk space, the DARPA annual report, progress with the demo, conference submissions and attendance, and requests from the University of Washington for data. Transcriptions are back from IBM, and the group discuss the checking of these, particularly since the pre-segmenter has interfered with back-channel data. "
Bmr027.C,we got the transcript back from that one meeting . everything seemed fine . adam had a script that will put everything back together and there was there was one small problem but it was a simple thing to fix . it 's gonna have to go through our regular process . ,"Transcriptions are back from IBM, and the group discuss the checking of these, particularly since the pre-segmenter has interfered with back-channel data. "
Bmr027.D,"i still need to get a pair , too . all i need is to hang it off the person who 's coming in , sonali 's , computer . can find something if i 'm desperate ",
Bmr027.E,"because although they signed this , they don't know by which date to expect your email . and someone whose machine is down or whatever the other thing that there 's a psychological effect that at least for most people , that if they 've responded to your email saying "" yes , i will do it "" or "" yes , i got your email "" , they 're more likely to actually do it later than to just ignore it . an official from somebody is better than no answer , even if they responded that they got your email . guess if you 're in both these types of meetings , you 'd have a lot . it also depends on how many like , if we release this time it 's a fairly small number of meetings , and then , the new data that don will start to process before we were working with these segments that were all synchronous and that 's stage two of trying the same kinds of alignments with the tighter boundaries with them is really the next step . we got our abstract accepted for this conference , isca workshop , in , new jersey . and we sent in a very poor abstract , but we 're hoping to have a paper for that as which should be an interesting but , the good news is that will have the european experts in prosody different crowd , and we 're the only people working on prosody in meetings far , it 's isca workshop on prosody in speech recognition and understanding , like that ","The group suggest sending reminder e-mails, although since many participants are local they can be contacted by other means if necessary. Additional topics covered more briefly in this meeting are disk space, the DARPA annual report, progress with the demo, conference submissions and attendance, and requests from the University of Washington for data. "
